"ID","Z_DGwin_SEM_striatum","Z_DGwin_BS_SD3min2_with_DA","Z_DGwin_TaskSD_avg_Yeo1_Vis_32change","Z_DGwin_TaskSD_avg_Yeo3_DAN_32change","Z_DGwin_TaskSD_avg_Yeo6_FPN_32change","Z_DGwin_TaskSD_avg_Yeo7_DMN_32change","Z_DGwin_PCAdimTEMP_BGHATMorel_32change","Z_DGwin_PCAdimTEMP_Yeo1_Vis_32change","Z_DGwin_PCAdimTEMP_Yeo3_DAN_32change","Z_DGwin_PCAdimTEMP_Yeo6_FPN_32change","Z_DGwin_PCAdimTEMP_Yeo7_DMN_32change","Z_DGwin_HDDMwBias_a_3min2back","Z_DGwin_HDDMwBias_v_3min2back","Z_DGwin_HDDMwBias_t_3min2back","Z_DGwin_HDDMwBias_z_3min2back","Z_DGwin_HDDMwBias_dc_3min2back","DGwin_TaskSD_avg_BGHATMorel_2back","DGwin_TaskSD_avg_BGHATMorel_3back","DGwin_TaskSD_avg_Yeo1_Vis_2back","DGwin_TaskSD_avg_Yeo1_Vis_3back","DGwin_TaskSD_avg_Yeo3_DAN_2back","DGwin_TaskSD_avg_Yeo3_DAN_3back","DGwin_TaskSD_avg_Yeo6_FPN_2back","DGwin_TaskSD_avg_Yeo6_FPN_3back","DGwin_TaskSD_avg_Yeo7_DMN_2back","DGwin_TaskSD_avg_Yeo7_DMN_3back","DGwin_PCAdimTEMP_BGHATMorel_2back","DGwin_PCAdimTEMP_BGHATMorel_3back","DGwin_PCAdimTEMP_Yeo1_Vis_2back","DGwin_PCAdimTEMP_Yeo1_Vis_3back","DGwin_PCAdimTEMP_Yeo3_DAN_2back","DGwin_PCAdimTEMP_Yeo3_DAN_3back","DGwin_PCAdimTEMP_Yeo6_FPN_2back","DGwin_PCAdimTEMP_Yeo6_FPN_3back","DGwin_PCAdimTEMP_Yeo7_DMN_2back","DGwin_PCAdimTEMP_Yeo7_DMN_3back","DGwin_HDDMwBias_a_2back","DGwin_HDDMwBias_a_3back","DGwin_HDDMwBias_v_2back","DGwin_HDDMwBias_v_3back","DGwin_HDDMwBias_t_2back","DGwin_HDDMwBias_t_3back","DGwin_HDDMwBias_z_2back","DGwin_HDDMwBias_z_3back","DGwin_HDDMwBias_dc_2back","DGwin_HDDMwBias_dc_3back","meanRT2","meanRT3","meanRT3min2","sdRT2","sdRT3","sdRT3min2","accuracy2","accuracy3","accuracy3min2","WAISscoren.o.correct","eduy","agewave1","WM","Speed"
24,0.191371120405913,0.035855554,0.278905583188201,0.0707331377641034,0.176053784743571,0.881023760927168,0.617316372001379,-0.406943192077497,-0.903561173339774,-0.0865968056805348,-0.910927495481457,1.04496197086543,-0.8580693924745,-0.502137940426541,-0.175915149504777,0.765909136557913,0.2,0.21,0.46,0.46,0.31,0.3,0.32,0.32,0.3,0.33,20,21,15,15,19,18,20,20,21,20,1.61,1.61,1.52,0.89,0.51,0.48,0.59,0.56,-0.53,-0.41,0.881,0.98,0.099,0.221716143003799,0.262330077117111,0.0406139341133118,0.882352941176471,0.745454545454546,-0.136898395721925,42,17,67,51.37,43.89
25,-1.44412182828397,-0.059573479,-0.304250067196132,-0.265249266615388,-0.319942403165942,-0.291470650112866,1.44768883699439,1.19968967015054,0.449555066538508,0.606177639763744,1.42268451541486,0.653193282704464,-0.641993323870214,-0.549878341955757,1.37635485885947,-1.39346771947145,0.19,0.17,0.39,0.36,0.26,0.23,0.28,0.26,0.27,0.25,18,20,13,15,16,17,16,17,18,20,1.58,1.53,1.56,0.98,0.52,0.49,0.56,0.59,-0.35,-0.46,0.8765,0.954,0.0774999999999999,0.214121395590654,0.200268351529133,-0.0138530440615213,0.885714285714286,0.76271186440678,-0.123002421307506,41,7,66,32.53,44.83
27,0.833886207391226,0.10362667,0.950418150297432,0.563507330854024,1.00271409792609,1.1043560296967,-0.213056092991627,-0.406943192077497,-0.227003053400633,-0.779371251124813,-0.133056825182685,0.438653286806794,-0.433498871708184,-0.406657137368109,0.475036789486681,0.102863960847653,0.25,0.28,0.51,0.55,0.36,0.38,0.34,0.37,0.37,0.4,19,19,14,14,17,17,19,18,19,19,1.61,1.54,1.49,0.97,0.41,0.38,0.61,0.6,-0.7,-0.65,0.779,0.842,0.0629999999999999,0.24634887017908,0.232663137795148,-0.0136857323839321,0.871428571428571,0.746031746031746,-0.125396825396825,37,17,67,59.18,48.27
29,-0.39273350412619,-0.10559353,-2.42481606859371,-1.34039296062976,-1.02850838589382,-1.01730052361384,0.617316372001379,2.00300610126456,1.12611318647765,1.29895208520802,1.42268451541486,-0.447490174509671,-0.221213611325026,-0.0486041258989881,0.775476145944277,-0.542261074978546,0.19,0.16,0.46,0.31,0.29,0.21,0.27,0.22,0.23,0.19,20,21,10,13,16,18,17,19,18,20,1.6,1.44,1.07,0.61,0.21,0.22,0.48,0.46,-0.38,-0.39,0.652,0.608,-0.044,0.304091229716801,0.30561422078832,0.00152299107151926,0.803030303030303,0.625,-0.178030303030303,38,17,65,49.28,34.17
30,0.833886207391226,0.086089805,0.844389850227554,1.59385337095113,1.97108760765419,1.32768829846623,-1.04342855798463,-1.21025962319152,-1.58011929327891,-1.47214569656909,-1.68879816578023,-0.848586688579229,-0.615457666322319,0.667501897039254,-0.62657418419117,-0.828983313123524,0.21,0.24,0.35,0.39,0.29,0.35,0.35,0.43,0.29,0.33,20,19,16,15,17,15,16,14,19,17,1.69,1.47,1.76,1.18,0.4,0.46,0.62,0.57,-0.58,-0.62,0.778,0.839,0.0609999999999999,0.198690548226259,0.171481944755269,-0.0272086034709898,0.928571428571429,0.786885245901639,-0.141686182669789,52,19,66,56.32,54.3
32,-0.976838128658293,-0.21164744,-1.94768871827925,-2.4603343085614,-2.634591280077,-2.35729413623102,2.27806130198739,0.396373239036523,1.80267130641679,1.9917265306523,1.42268451541486,-0.699341474041719,-1.4304814338648,0.452670090157781,1.4013914718976,-0.0852975079349883,0.3,0.23,0.62,0.5,0.5,0.35,0.49,0.44,0.45,0.41,17,21,13,14,14,17,14,17,16,18,1.57,1.37,1.4,0.61,0.49,0.54,0.55,0.58,-0.59,-0.56,0.874,0.9135,0.0395,0.198824524910259,0.183520755760262,-0.0153037691499977,0.847222222222222,0.629032258064516,-0.218189964157706,43,23,66,60.1,55
34,-0.743196278845452,0.00095588685,-0.604663584060789,-0.153255131822224,-0.0365160100747918,-0.403136784497631,1.44768883699439,1.19968967015054,0.449555066538508,-0.0865968056805348,1.42268451541486,-0.148999745434652,-0.463825337477206,-0.526008141191149,0.0243777548002873,1.16911228394929,0.22,0.22,0.45,0.4,0.37,0.35,0.36,0.35,0.32,0.3,18,20,12,14,12,13,14,14,15,17,1.86,1.73,1.68,1.14,0.56,0.53,0.6,0.57,-0.3,-0.13,1.003,1.076,0.0730000000000002,0.310964700105235,0.287100453738774,-0.0238642463664602,0.876923076923077,0.867924528301887,-0.00899854862119009,32,18,66,37.14,37.89
35,0.483423432671964,-0.035211664,0.29657696653318,0.249923753433165,0.152434918652641,0.0435277530414299,-0.213056092991627,0.396373239036523,-0.227003053400633,-0.779371251124813,0.644813845116088,0.587898501344303,-0.865651008916755,-0.251500832398157,0.349853724296016,-0.649781914282913,0.18,0.17,0.35,0.36,0.25,0.25,0.27,0.27,0.25,0.24,22,22,15,16,19,19,20,19,20,21,1.71,1.66,1.9,1.25,0.45,0.43,0.58,0.57,-0.52,-0.55,0.817,0.864,0.047,0.231697354557884,0.28791698484795,0.0562196302900654,0.942028985507246,0.836065573770492,-0.105963411736755,26,18,67,55.57,55.73
38,1.2427594445637,-0.041885804,-0.304250067196132,-1.31799413367113,-0.745081992802666,-0.375220250901439,1.44768883699439,-0.406943192077497,0.449555066538508,-0.0865968056805348,-0.133056825182685,1.43673065902639,-1.22198698170277,-1.14663336107096,1.5516111501264,0.00430319148531709,0.23,0.22,0.46,0.43,0.42,0.35,0.35,0.31,0.27,0.25,19,21,12,12,10,11,13,13,17,17,1.52,1.57,2.26,1.53,0.5,0.42,0.54,0.57,-0.68,-0.64,0.7835,0.785,0.00149999999999995,0.1593607142482,0.197023181764446,0.0376624675162457,0.930555555555556,0.873015873015873,-0.0575396825396826,40,16,66,62.33,50.18
40,-0.860017203751872,0.074026041,1.30384581719703,0.832293254357616,1.26252162492631,0.573941891369064,-0.213056092991627,-0.406943192077497,-0.227003053400633,-0.0865968056805348,-0.133056825182685,-0.438162348601077,0.84779430703302,0.011071376012532,-0.351171440771708,-0.945464222369921,0.24,0.26,0.61,0.67,0.33,0.36,0.38,0.42,0.38,0.4,18,18,10,10,14,14,16,16,17,17,1.67,1.51,1,0.81,0.2,0.18,0.54,0.5,-0.33,-0.4,0.656,0.64,-0.016,0.378235039853288,0.352255470740579,-0.0259795691127096,0.725806451612903,0.714285714285714,-0.0115207373271889,46,13,67,48.87,56.76
